frame,cpu_frame_ms,cpu_physics_ms,cpu_mesh_ms,cpu_egui_ms,cpu_check_win_ms,cpu_shadow_segs_ms,cpu_submit_ms,cpu_celebration_ms,gpu_total_ms,gpu_shadow_ms,gpu_hdr_ms,gpu_bloom_ms,rope_verts,rope_tris,event,render_scale,render_mode,dragging,render_size,skip,table_shadow_mode
661,65.462,2.093,0.218,0.151,0.000,0.015,0.042,0.000,63.557,0.013,63.493,0.051,8120,15600,,2.00,2,0,8224x5140,S,0
662,66.284,1.865,0.202,0.116,0.000,0.011,0.037,0.000,63.500,0.017,63.433,0.051,8120,15600,,2.00,2,0,8224x5140,S,0
663,65.940,1.802,0.217,0.060,0.000,0.011,0.064,0.000,63.556,0.014,63.495,0.047,8120,15600,,2.00,2,0,8224x5140,S,0
664,66.646,2.506,0.238,0.066,0.000,0.016,0.055,0.000,63.563,0.014,63.507,0.043,8120,15600,,2.00,2,0,8224x5140,S,0
665,65.756,2.628,0.254,0.056,0.000,0.015,0.062,0.000,63.576,0.014,63.523,0.038,8120,15600,,2.00,2,0,8224x5140,S,0
666,65.798,2.600,0.296,0.058,0.000,0.016,0.047,0.000,63.465,0.013,63.414,0.039,8120,15600,,2.00,2,0,8224x5140,S,0
667,66.327,2.249,0.263,0.058,0.000,0.016,0.049,0.000,63.504,0.013,63.448,0.043,8120,15600,,2.00,2,0,8224x5140,S,0
668,66.068,1.972,0.261,0.060,0.000,0.015,0.064,0.000,63.526,0.014,63.470,0.042,8120,15600,,2.00,2,0,8224x5140,S,0
669,69.752,2.298,0.252,0.081,0.000,0.019,0.057,0.000,66.927,0.014,66.872,0.041,8120,15600,,2.00,2,0,8224x5140,S,0
670,66.237,1.952,0.283,0.051,0.000,0.014,0.061,0.000,63.525,0.014,63.468,0.042,8120,15600,,2.00,2,0,8224x5140,S,0
671,66.521,2.188,0.223,0.082,0.000,0.018,0.047,0.000,63.512,0.014,63.455,0.043,8120,15600,,2.00,2,0,8224x5140,S,0
672,65.885,2.641,0.247,0.049,0.000,0.014,0.080,0.000,63.506,0.014,63.449,0.043,8120,15600,,2.00,2,0,8224x5140,S,0
673,66.395,3.117,0.283,0.049,0.000,0.016,0.068,0.000,63.480,0.014,63.424,0.042,8120,15600,,2.00,2,0,8224x5140,S,0
674,66.241,2.856,0.322,0.063,0.000,0.017,0.061,0.000,63.535,0.014,63.480,0.041,8120,15600,,2.00,2,0,8224x5140,S,0
675,66.088,2.866,0.260,0.063,0.000,0.017,0.035,0.000,63.474,0.014,63.413,0.047,8120,15600,,2.00,2,0,8224x5140,S,0
676,66.336,2.106,0.199,0.032,0.000,0.009,0.048,0.000,63.555,0.016,63.492,0.047,8120,15600,,2.00,2,0,8224x5140,S,0
677,66.254,2.060,0.245,0.032,0.000,0.010,0.048,0.000,63.586,0.014,63.529,0.043,8120,15600,,2.00,2,0,8224x5140,S,0
