frame,cpu_frame_ms,cpu_physics_ms,cpu_mesh_ms,cpu_egui_ms,cpu_check_win_ms,cpu_shadow_segs_ms,cpu_submit_ms,cpu_celebration_ms,gpu_total_ms,gpu_shadow_ms,gpu_hdr_ms,gpu_bloom_ms,rope_verts,rope_tris,event,render_scale,render_mode,dragging,render_size,skip,table_shadow_mode
14211,8.166,0.338,0.189,0.730,0.000,0.013,0.043,0.000,4.470,0.040,4.362,0.068,6496,12480,,1.00,1,0,4112x2570,L,1
14212,8.343,0.000,0.237,0.169,0.000,0.012,0.050,0.000,6.199,0.135,5.999,0.064,6496,12480,,1.00,1,0,4112x2570,L,1
14213,8.298,0.292,0.198,0.078,0.000,0.014,0.039,0.000,4.474,0.041,4.363,0.070,6496,12480,,1.00,1,0,4112x2570,L,1
14214,8.627,0.000,0.280,0.060,0.000,0.017,0.042,0.000,6.525,0.133,6.329,0.063,6496,12480,,1.00,1,0,4112x2570,L,1
14215,8.070,0.320,0.191,0.055,0.000,0.014,0.051,0.000,4.472,0.041,4.364,0.067,6496,12480,,1.00,1,0,4112x2570,L,1
14216,8.263,0.000,0.247,0.075,0.000,0.021,0.039,0.000,6.164,0.136,5.962,0.065,6496,12480,,1.00,1,0,4112x2570,L,1
14217,8.410,0.277,0.216,0.061,0.000,0.013,0.052,0.000,4.473,0.041,4.364,0.068,6496,12480,,1.00,1,0,4112x2570,L,1
14218,16.641,0.000,0.237,0.058,0.000,0.012,0.053,0.000,6.300,0.138,6.099,0.063,6496,12480,,1.00,1,0,4112x2570,L,1
14219,8.346,0.332,0.239,0.064,0.000,0.016,0.047,0.000,4.498,0.049,4.380,0.068,6496,12480,,1.00,1,0,4112x2570,L,1
14220,8.988,0.321,0.211,0.060,0.000,0.015,0.061,0.000,6.829,0.142,6.620,0.067,6496,12480,,1.00,1,0,4112x2570,L,1
14221,7.632,0.000,0.293,0.055,0.000,0.014,0.050,0.000,4.055,0.048,3.957,0.050,6496,12480,,1.00,1,0,4112x2570,L,1
14222,8.282,0.313,0.238,0.049,0.000,0.015,0.067,0.000,5.805,0.121,5.626,0.059,6496,12480,,1.00,1,0,4112x2570,L,1
14223,8.329,0.000,0.250,0.060,0.000,0.017,0.048,0.000,4.122,0.048,4.019,0.056,6496,12480,,1.00,1,0,4112x2570,L,1
14224,8.238,0.341,0.215,0.069,0.000,0.025,0.040,0.000,5.616,0.136,5.425,0.055,6496,12480,,1.00,1,0,4112x2570,L,1
14225,8.305,0.000,0.249,0.057,0.000,0.014,0.045,0.000,4.172,0.050,4.065,0.056,6496,12480,,1.00,1,0,4112x2570,L,1
14226,8.065,0.269,0.188,0.046,0.000,0.013,0.039,0.000,5.664,0.142,5.465,0.057,6496,12480,,1.00,1,0,4112x2570,L,1
14227,8.219,0.000,0.206,0.044,0.000,0.014,0.040,0.000,4.202,0.047,4.099,0.055,6496,12480,,1.00,1,0,4112x2570,L,1
14228,8.229,0.269,0.200,0.040,0.000,0.013,0.037,0.000,5.706,0.144,5.502,0.061,6496,12480,,1.00,1,0,4112x2570,L,1
14229,8.302,0.000,0.208,0.040,0.000,0.012,0.044,0.000,4.212,0.047,4.110,0.054,6496,12480,,1.00,1,0,4112x2570,L,1
14230,8.203,0.260,0.197,0.047,0.000,0.010,0.048,0.000,5.666,0.133,5.477,0.056,6496,12480,,1.00,1,0,4112x2570,L,1
14231,8.213,0.000,0.213,0.048,0.000,0.015,0.044,0.000,4.189,0.050,4.087,0.052,6496,12480,,1.00,1,0,4112x2570,L,1
14232,8.273,0.274,0.188,0.047,0.000,0.010,0.046,0.000,5.880,0.126,5.698,0.056,6496,12480,,1.00,1,0,4112x2570,L,1
14233,8.151,0.000,0.226,0.058,0.000,0.014,0.044,0.000,4.344,0.049,4.242,0.054,6496,12480,,1.00,1,0,4112x2570,L,1
14234,8.171,0.321,0.197,0.050,0.000,0.011,0.045,0.000,5.865,0.126,5.684,0.055,6496,12480,,1.00,1,0,4112x2570,L,1
14235,8.233,0.000,0.224,0.054,0.000,0.015,0.045,0.000,4.505,0.047,4.379,0.078,6496,12480,,1.00,1,0,4112x2570,L,1
14236,8.205,0.352,0.199,0.048,0.000,0.012,0.042,0.000,6.037,0.143,5.830,0.064,6496,12480,,1.00,1,0,4112x2570,L,1
14237,8.216,0.000,0.230,0.048,0.000,0.012,0.044,0.000,4.485,0.041,4.375,0.069,6496,12480,,1.00,1,0,4112x2570,L,1
14238,8.217,0.287,0.187,0.046,0.000,0.011,0.046,0.000,6.376,0.122,6.189,0.065,6496,12480,,1.00,1,0,4112x2570,L,1
14239,8.290,0.000,0.231,0.047,0.000,0.012,0.067,0.000,4.467,0.040,4.358,0.069,6496,12480,,1.00,1,0,4112x2570,L,1
14240,8.093,0.345,0.219,0.062,0.000,0.017,0.043,0.000,6.205,0.124,6.019,0.063,6496,12480,,1.00,1,0,4112x2570,L,1
14241,8.243,0.000,0.224,0.045,0.000,0.013,0.047,0.000,4.472,0.040,4.364,0.068,6496,12480,,1.00,1,0,4112x2570,L,1
14242,8.217,0.276,0.201,0.044,0.000,0.011,0.051,0.000,6.368,0.148,6.158,0.063,6496,12480,,1.00,1,0,4112x2570,L,1
14243,8.229,0.000,0.234,0.047,0.000,0.013,0.057,0.000,4.471,0.041,4.361,0.069,6496,12480,,1.00,1,0,4112x2570,L,1
14244,8.231,0.311,0.213,0.060,0.000,0.014,0.074,0.000,6.361,0.139,6.158,0.064,6496,12480,,1.00,1,0,4112x2570,L,1
14245,8.075,0.000,0.228,0.055,0.000,0.016,0.044,0.000,4.464,0.040,4.356,0.068,6496,12480,,1.00,1,0,4112x2570,L,1
14246,8.239,0.308,0.196,0.044,0.000,0.012,0.053,0.000,6.368,0.139,6.165,0.064,6496,12480,,1.00,1,0,4112x2570,L,1
14247,8.198,0.000,0.250,0.046,0.000,0.015,0.046,0.000,4.475,0.040,4.366,0.069,6496,12480,,1.00,1,0,4112x2570,L,1
14248,8.182,0.278,0.223,0.046,0.000,0.011,0.043,0.000,6.216,0.133,6.018,0.065,6496,12480,,1.00,1,0,4112x2570,L,1
14249,8.326,0.000,0.236,0.045,0.000,0.014,0.052,0.000,4.475,0.040,4.365,0.070,6496,12480,,1.00,1,0,4112x2570,L,1
14250,8.145,0.274,0.229,0.061,0.000,0.014,0.045,0.000,6.196,0.138,5.995,0.063,6496,12480,,1.00,1,0,4112x2570,L,1
14251,8.187,0.000,0.226,0.058,0.000,0.016,0.064,0.000,4.474,0.040,4.365,0.069,6496,12480,,1.00,1,0,4112x2570,L,1
14252,8.177,0.335,0.217,0.051,0.000,0.014,0.043,0.000,6.363,0.140,6.159,0.064,6496,12480,,1.00,1,0,4112x2570,L,1
14253,8.294,0.000,0.240,0.055,0.000,0.015,0.053,0.000,4.469,0.040,4.360,0.069,6496,12480,,1.00,1,0,4112x2570,L,1
14254,8.225,0.350,0.194,0.057,0.000,0.015,0.054,0.000,6.175,0.122,5.993,0.060,6496,12480,,1.00,1,0,4112x2570,L,1
14255,8.094,0.000,0.249,0.054,0.000,0.014,0.054,0.000,4.475,0.042,4.368,0.066,6496,12480,,1.00,1,0,4112x2570,L,1
14256,8.108,0.310,0.241,0.049,0.000,0.018,0.042,0.000,6.191,0.130,5.996,0.066,6496,12480,,1.00,1,0,4112x2570,L,1
14257,8.232,0.000,0.347,0.047,0.000,0.012,0.044,0.000,4.471,0.040,4.362,0.069,6496,12480,,1.00,1,0,4112x2570,L,1
14258,8.237,0.274,0.225,0.047,0.000,0.012,0.047,0.000,6.366,0.147,6.153,0.065,6496,12480,,1.00,1,0,4112x2570,L,1
14259,8.180,0.000,0.358,0.054,0.000,0.015,0.052,0.000,4.477,0.041,4.368,0.068,6496,12480,,1.00,1,0,4112x2570,L,1
14260,8.182,0.306,0.205,0.053,0.000,0.015,0.050,0.000,6.371,0.140,6.167,0.063,6496,12480,,1.00,1,0,4112x2570,L,1
14261,8.184,0.000,0.224,0.055,0.000,0.014,0.045,0.000,4.474,0.040,4.365,0.070,6496,12480,,1.00,1,0,4112x2570,L,1
14262,8.207,0.267,0.224,0.052,0.000,0.015,0.043,0.000,6.225,0.131,6.030,0.065,6496,12480,,1.00,1,0,4112x2570,L,1
14263,8.237,0.000,0.245,0.052,0.000,0.014,0.058,0.000,4.475,0.041,4.362,0.072,6496,12480,,1.00,1,0,4112x2570,L,1
14264,8.234,0.329,0.342,0.050,0.000,0.013,0.049,0.000,6.215,0.140,6.012,0.064,6496,12480,,1.00,1,0,4112x2570,L,1
14265,8.116,0.000,0.239,0.056,0.000,0.015,0.045,0.000,4.476,0.041,4.367,0.068,6496,12480,,1.00,1,0,4112x2570,L,1
14266,8.178,0.340,0.212,0.049,0.000,0.014,0.044,0.000,6.360,0.127,6.170,0.062,6496,12480,,1.00,1,0,4112x2570,L,1
14267,8.239,0.000,0.375,0.050,0.000,0.014,0.064,0.000,4.472,0.040,4.364,0.068,6496,12480,,1.00,1,0,4112x2570,L,1
14268,8.221,0.333,0.199,0.047,0.000,0.012,0.048,0.000,6.217,0.137,6.018,0.062,6496,12480,,1.00,1,0,4112x2570,L,1
