frame,cpu_frame_ms,cpu_physics_ms,cpu_mesh_ms,cpu_egui_ms,cpu_check_win_ms,cpu_shadow_segs_ms,cpu_submit_ms,cpu_celebration_ms,gpu_total_ms,gpu_shadow_ms,gpu_hdr_ms,gpu_bloom_ms,rope_verts,rope_tris,event,render_scale,render_mode,dragging,render_size,skip,table_shadow_mode
1280,17.058,13.524,1.765,0.847,0.000,0.087,0.106,0.000,0.959,0.138,0.784,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1281,17.218,13.192,1.883,1.098,0.000,0.093,0.095,0.000,0.618,0.059,0.520,0.039,8120,15600,,1.00,1,0,800x1200,L,2
1282,16.551,13.250,1.793,0.627,0.000,0.085,0.092,0.000,0.911,0.127,0.746,0.039,8120,15600,,1.00,1,0,800x1200,L,2
1283,16.732,13.426,1.870,0.498,0.000,0.086,0.116,0.000,0.635,0.059,0.537,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1284,17.112,13.661,1.957,0.540,0.000,0.093,0.103,0.000,0.883,0.134,0.711,0.037,8120,15600,,1.00,1,0,800x1200,L,2
1285,16.608,13.401,1.788,0.474,0.000,0.088,0.096,0.000,0.658,0.059,0.562,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1286,16.513,13.408,1.836,0.429,0.000,0.087,0.088,0.000,0.919,0.137,0.744,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1287,16.668,13.513,1.815,0.446,0.000,0.089,0.087,0.000,0.610,0.059,0.512,0.039,8120,15600,,1.00,1,0,800x1200,L,2
1288,16.497,13.456,1.822,0.430,0.000,0.081,0.077,0.000,0.888,0.138,0.713,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1289,16.703,13.574,1.776,0.415,0.000,0.085,0.086,0.000,0.615,0.059,0.518,0.039,8120,15600,,1.00,1,0,800x1200,L,2
1290,16.344,13.319,1.812,0.419,0.000,0.080,0.077,0.000,0.894,0.137,0.718,0.039,8120,15600,,1.00,1,0,800x1200,L,2
1291,17.045,13.384,1.897,0.509,0.000,0.110,0.136,0.000,0.645,0.059,0.547,0.039,8120,15600,,1.00,1,0,800x1200,L,2
1292,16.550,13.352,1.806,0.472,0.000,0.094,0.095,0.000,0.889,0.139,0.712,0.037,8120,15600,,1.00,1,0,800x1200,L,2
1293,15.995,13.098,1.713,0.383,0.000,0.055,0.105,0.000,0.628,0.059,0.530,0.039,8120,15600,,1.00,1,0,800x1200,L,2
1294,16.480,13.087,1.825,0.520,0.000,0.106,0.105,0.000,0.887,0.136,0.713,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1295,16.484,13.151,1.818,0.452,0.000,0.092,0.099,0.000,0.872,0.055,0.729,0.088,8120,15600,,1.00,1,0,800x1200,L,2
1296,16.346,13.160,1.814,0.469,0.000,0.099,0.086,0.000,1.183,0.572,0.557,0.054,8120,15600,,1.00,1,0,800x1200,L,2
1297,16.173,12.973,1.815,0.445,0.000,0.073,0.085,0.000,0.634,0.054,0.541,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1298,16.191,13.173,1.766,0.437,0.000,0.081,0.084,0.000,0.962,0.139,0.785,0.039,8120,15600,,1.00,1,0,800x1200,L,2
1299,15.856,12.937,1.750,0.378,0.000,0.059,0.085,0.000,0.741,0.059,0.644,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1300,2.696,0.000,1.740,0.321,0.000,0.032,0.067,0.000,0.991,0.140,0.813,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1301,16.094,13.066,1.823,0.407,0.000,0.073,0.078,0.000,0.633,0.060,0.534,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1302,16.099,13.012,1.771,0.425,0.000,0.087,0.135,0.000,0.889,0.138,0.713,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1303,16.235,12.960,1.894,0.428,0.000,0.092,0.098,0.000,0.627,0.059,0.529,0.039,8120,15600,,1.00,1,0,800x1200,L,2
1304,16.200,13.243,1.747,0.442,0.000,0.075,0.077,0.000,0.894,0.136,0.718,0.039,8120,15600,,1.00,1,0,800x1200,L,2
1305,15.984,13.093,1.738,0.381,0.000,0.061,0.081,0.000,0.683,0.057,0.588,0.038,8120,15600,,1.00,1,0,800x1200,L,2
1306,2.645,0.000,1.728,0.320,0.000,0.031,0.066,0.000,0.894,0.129,0.727,0.038,8120,15600,,1.00,1,0,800x1200,L,2
