frame,cpu_frame_ms,cpu_physics_ms,cpu_mesh_ms,cpu_egui_ms,cpu_check_win_ms,cpu_shadow_segs_ms,cpu_submit_ms,cpu_celebration_ms,gpu_total_ms,gpu_shadow_ms,gpu_hdr_ms,gpu_bloom_ms,rope_verts,rope_tris,event,render_scale,render_mode,dragging,render_size,skip,table_shadow_mode
496,38.824,3.530,1.042,0.460,0.000,0.105,0.118,0.000,36.306,0.000,36.306,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
497,43.642,3.518,1.068,0.597,0.001,0.100,0.298,0.000,39.043,0.000,39.043,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
498,44.658,4.991,1.181,0.392,0.000,0.120,0.143,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
499,43.803,2.797,0.527,0.190,0.000,0.040,0.118,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
500,45.883,3.906,0.503,0.113,0.000,0.032,0.067,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
501,47.197,3.998,0.471,0.108,0.000,0.030,0.081,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
502,49.179,3.829,0.481,0.110,0.000,0.032,0.079,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
503,44.557,3.847,0.476,0.092,0.000,0.027,0.063,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
504,45.080,2.235,0.459,0.087,0.000,0.023,0.055,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
505,43.543,2.968,0.387,0.081,0.000,0.024,0.064,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
506,45.689,2.985,0.373,0.089,0.000,0.025,0.061,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
507,44.648,1.924,0.330,0.074,0.000,0.020,0.063,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
508,55.459,2.679,0.341,0.083,0.000,0.024,0.054,0.000,26.358,0.000,26.358,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
509,45.945,2.298,0.333,0.072,0.000,0.018,0.050,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
