frame,cpu_frame_ms,cpu_physics_ms,cpu_mesh_ms,cpu_egui_ms,cpu_check_win_ms,cpu_shadow_segs_ms,cpu_submit_ms,cpu_celebration_ms,gpu_total_ms,gpu_shadow_ms,gpu_hdr_ms,gpu_bloom_ms,rope_verts,rope_tris,event,render_scale,render_mode,dragging,render_size,skip,table_shadow_mode
108,87.798,83.718,2.505,0.545,0.000,0.113,0.124,0.000,1.857,0.000,1.857,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
109,89.091,83.991,2.495,1.483,0.000,0.119,0.111,0.000,1.859,0.000,1.859,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
110,88.969,83.855,2.467,0.782,0.000,0.113,0.130,0.000,1.855,0.000,1.855,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
111,88.229,84.072,2.500,0.641,0.000,0.117,0.118,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
112,88.071,84.098,2.460,0.571,0.000,0.114,0.133,0.000,1.856,0.000,1.856,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
113,87.938,83.851,2.503,0.560,0.000,0.111,0.192,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
114,88.366,84.104,2.570,0.611,0.000,0.123,0.128,0.000,1.857,0.000,1.857,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
115,87.990,83.982,2.478,0.547,0.000,0.114,0.153,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
116,88.467,84.384,2.508,0.558,0.000,0.117,0.130,0.000,1.857,0.000,1.857,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
117,86.439,82.248,2.550,0.579,0.000,0.120,0.134,0.000,1.857,0.000,1.857,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
118,86.611,82.568,2.504,0.588,0.000,0.118,0.115,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
119,86.932,83.022,2.481,0.522,0.000,0.114,0.127,0.000,1.859,0.000,1.859,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
120,88.315,84.165,2.555,0.569,0.000,0.117,0.122,0.000,1.857,0.000,1.857,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
121,87.559,83.583,2.491,0.538,0.000,0.114,0.138,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
122,88.120,83.909,2.602,0.576,0.000,0.119,0.113,0.000,1.857,0.000,1.857,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
123,88.255,84.293,2.516,0.538,0.000,0.112,0.108,0.000,1.859,0.000,1.859,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
124,87.992,84.157,2.440,0.521,0.000,0.107,0.131,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
125,88.292,84.128,2.561,0.582,0.000,0.120,0.111,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
126,87.891,83.965,2.487,0.537,0.000,0.109,0.102,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
127,87.487,83.575,2.496,0.540,0.000,0.117,0.099,0.000,1.859,0.000,1.859,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
128,87.350,83.503,2.465,0.526,0.000,0.106,0.098,0.000,1.857,0.000,1.857,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
129,88.188,84.018,2.550,0.608,0.000,0.117,0.118,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
130,88.276,84.336,2.481,0.541,0.000,0.117,0.106,0.000,1.856,0.000,1.856,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
131,88.181,83.996,2.568,0.586,0.000,0.120,0.123,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
132,87.757,83.776,2.494,0.570,0.000,0.111,0.104,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
133,88.118,84.186,2.483,0.573,0.000,0.109,0.100,0.000,1.860,0.000,1.860,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
134,87.598,83.785,2.422,0.527,0.000,0.108,0.128,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
135,87.022,82.927,2.531,0.572,0.000,0.117,0.117,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
136,86.593,82.642,2.469,0.557,0.000,0.120,0.104,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
137,86.111,82.278,2.448,0.516,0.000,0.111,0.102,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
138,88.758,84.642,2.659,0.554,0.000,0.109,0.110,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
139,94.715,90.579,2.665,0.544,0.000,0.110,0.143,0.000,1.857,0.000,1.857,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
140,91.311,87.517,2.467,0.510,0.000,0.102,0.105,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
141,88.100,84.302,2.427,0.501,0.000,0.101,0.153,0.000,1.859,0.000,1.859,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
142,87.268,83.184,2.499,0.586,0.000,0.116,0.125,0.000,1.857,0.000,1.857,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
143,90.380,86.114,2.741,0.571,0.000,0.115,0.117,0.000,1.859,0.000,1.859,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
144,92.034,88.100,2.475,0.517,0.000,0.106,0.192,0.000,0.000,0.000,0.000,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
145,91.623,87.090,2.788,0.656,0.000,0.126,0.134,0.000,1.859,0.000,1.859,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
146,96.240,91.773,2.758,0.663,0.000,0.125,0.126,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
147,100.368,95.732,2.984,0.625,0.000,0.121,0.124,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
148,106.472,102.291,2.708,0.552,0.000,0.116,0.115,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
149,89.895,85.762,2.560,0.568,0.000,0.118,0.117,0.000,1.859,0.000,1.859,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
150,87.676,83.667,2.512,0.572,0.000,0.116,0.106,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
151,90.089,86.091,2.597,0.530,0.000,0.109,0.101,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
152,93.741,89.499,2.705,0.588,0.000,0.113,0.132,0.000,1.857,0.000,1.857,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
153,100.610,96.137,2.848,0.591,0.000,0.122,0.123,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
154,91.692,87.780,2.484,0.546,0.000,0.112,0.106,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
155,90.810,86.491,2.634,0.645,0.000,0.120,0.115,0.000,1.857,0.000,1.857,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
156,92.747,87.993,2.994,0.679,0.000,0.125,0.135,0.000,1.858,0.000,1.858,0.000,8120,15600,,1.00,0,0,4112x2570,S,0
157,120.848,114.902,3.856,0.819,0.000,0.143,0.162,0.000,1.859,0.000,1.859,0.000,8120,15600,cel_on,1.00,0,0,4112x2570,S,0
158,111.080,108.100,1.455,0.640,0.000,0.000,0.149,0.000,1.269,0.000,1.269,0.000,3680,7040,,1.00,0,0,4112x2570,S,0
159,102.977,98.816,1.903,0.894,0.000,0.000,0.180,0.000,1.222,0.000,1.222,0.000,3680,7040,,1.00,0,0,4112x2570,S,0
160,107.416,104.295,1.500,0.675,0.003,0.000,0.122,0.000,1.222,0.000,1.222,0.000,3680,7040,,1.00,0,0,4112x2570,S,0
161,94.963,91.748,1.593,0.633,0.000,0.000,0.123,0.000,1.222,0.000,1.222,0.000,3680,7040,,1.00,0,0,4112x2570,S,0
162,89.345,86.350,1.421,0.621,0.000,0.000,0.117,0.000,1.222,0.000,1.222,0.000,3680,7040,,1.00,0,0,4112x2570,S,0
163,90.517,87.522,1.429,0.612,0.000,0.000,0.120,0.000,1.223,0.000,1.223,0.000,3680,7040,,1.00,0,0,4112x2570,S,0
164,88.091,85.286,1.348,0.576,0.000,0.000,0.126,0.000,1.222,0.000,1.222,0.000,3680,7040,,1.00,0,0,4112x2570,S,0
165,88.078,85.456,1.312,0.532,0.000,0.000,0.103,0.000,1.222,0.000,1.222,0.000,3680,7040,,1.00,0,0,4112x2570,S,0
166,87.204,84.410,1.335,0.596,0.000,0.000,0.134,0.000,1.221,0.000,1.221,0.000,3680,7040,,1.00,0,0,4112x2570,S,0
167,89.115,86.171,1.405,0.598,0.000,0.000,0.116,0.000,1.223,0.000,1.223,0.000,3680,7040,,1.00,0,0,4112x2570,S,0
