frame,cpu_frame_ms,cpu_physics_ms,cpu_mesh_ms,cpu_egui_ms,cpu_check_win_ms,cpu_shadow_segs_ms,cpu_submit_ms,cpu_celebration_ms,gpu_total_ms,gpu_shadow_ms,gpu_hdr_ms,gpu_bloom_ms,rope_verts,rope_tris,event,render_scale,render_mode,dragging,render_size,skip,table_shadow_mode
581,66.449,2.356,0.294,0.188,0.000,0.023,0.070,0.000,63.487,0.014,63.424,0.049,8120,15600,,2.00,2,0,8224x5140,S,0
582,66.245,2.325,0.259,0.210,0.003,0.024,0.060,0.000,63.461,0.013,63.392,0.055,8120,15600,,2.00,2,0,8224x5140,S,0
583,66.677,2.380,0.287,0.118,0.000,0.025,0.059,0.000,63.472,0.014,63.414,0.044,8120,15600,,2.00,2,0,8224x5140,S,0
584,69.945,2.311,0.252,0.068,0.000,0.017,0.053,0.000,66.856,0.014,66.799,0.044,8120,15600,,2.00,2,0,8224x5140,S,0
585,66.428,2.537,0.287,0.075,0.000,0.021,0.057,0.000,63.437,0.014,63.379,0.045,8120,15600,,2.00,2,0,8224x5140,S,0
586,65.757,2.597,0.293,0.073,0.000,0.022,0.056,0.000,63.448,0.014,63.386,0.048,8120,15600,,2.00,2,0,8224x5140,S,0
587,65.693,2.527,0.258,0.079,0.000,0.020,0.080,0.000,63.475,0.014,63.417,0.044,8120,15600,,2.00,2,0,8224x5140,S,0
588,66.770,3.398,0.319,0.081,0.000,0.021,0.062,0.000,63.450,0.013,63.388,0.048,8120,15600,,2.00,2,0,8224x5140,S,0
589,66.426,2.214,0.223,0.065,0.000,0.016,0.054,0.000,63.400,0.014,63.340,0.046,8120,15600,,2.00,2,0,8224x5140,S,0
590,67.672,2.242,0.232,0.064,0.000,0.018,0.053,0.000,65.923,0.424,65.453,0.046,8120,15600,,2.00,2,0,8224x5140,S,0
591,66.485,2.377,0.282,0.069,0.000,0.019,0.074,0.000,63.501,0.014,63.438,0.049,8120,15600,,2.00,2,0,8224x5140,S,0
592,65.778,3.170,0.317,0.080,0.000,0.023,0.059,0.000,63.411,0.014,63.351,0.046,8120,15600,,2.00,2,0,8224x5140,S,0
593,65.118,2.181,0.274,0.064,0.000,0.020,0.056,0.000,63.449,0.014,63.387,0.048,8120,15600,,2.00,2,0,8224x5140,S,0
594,66.405,2.239,0.242,0.062,0.000,0.017,0.059,0.000,63.418,0.013,63.352,0.052,8120,15600,,2.00,2,0,8224x5140,S,0
595,66.317,2.318,0.262,0.060,0.000,0.019,0.070,0.000,63.438,0.014,63.377,0.047,8120,15600,,2.00,2,0,8224x5140,S,0
596,65.794,3.041,0.296,0.071,0.000,0.021,0.050,0.000,63.491,0.013,63.430,0.047,8120,15600,,2.00,2,0,8224x5140,S,0
597,65.723,2.241,0.256,0.068,0.000,0.019,0.065,0.000,63.374,0.014,63.310,0.049,8120,15600,,2.00,2,0,8224x5140,S,0
598,65.910,2.211,0.256,0.072,0.000,0.020,0.071,0.000,63.587,0.014,63.522,0.050,8120,15600,,2.00,2,0,8224x5140,S,0
599,68.660,2.386,0.274,0.073,0.000,0.022,0.056,0.000,65.106,0.014,65.049,0.044,8120,15600,,2.00,2,0,8224x5140,S,0
600,67.895,2.638,0.270,0.073,0.000,0.024,0.062,0.000,64.831,0.014,64.780,0.037,8120,15600,,2.00,2,0,8224x5140,S,0
601,66.820,2.607,0.284,0.062,0.000,0.022,0.061,0.000,64.641,0.013,64.590,0.038,8120,15600,,2.00,2,0,8224x5140,S,0
602,67.645,2.294,0.269,0.069,0.000,0.021,0.062,0.000,64.782,0.014,64.731,0.038,8120,15600,,2.00,2,0,8224x5140,S,0
603,67.011,2.237,0.312,0.064,0.000,0.018,0.060,0.000,64.806,0.014,64.753,0.039,8120,15600,,2.00,2,0,8224x5140,S,0
604,67.204,2.513,0.346,0.077,0.000,0.028,0.066,0.000,64.658,0.014,64.598,0.046,8120,15600,,2.00,2,0,8224x5140,S,0
605,68.087,2.271,0.251,0.067,0.000,0.021,0.078,0.000,65.019,0.014,64.964,0.040,8120,15600,,2.00,2,0,8224x5140,S,0
606,67.513,2.374,0.300,0.068,0.000,0.022,0.065,0.000,65.025,0.017,64.964,0.044,8120,15600,,2.00,2,0,8224x5140,S,0
607,67.623,2.340,0.291,0.068,0.000,0.021,0.064,0.000,64.909,0.014,64.858,0.037,8120,15600,,2.00,2,0,8224x5140,S,0
608,66.692,2.503,0.296,0.072,0.000,0.020,0.050,0.000,64.779,0.014,64.729,0.037,8120,15600,,2.00,2,0,8224x5140,S,0
609,67.281,2.027,0.241,0.060,0.000,0.016,0.066,0.000,64.703,0.014,64.649,0.040,8120,15600,,2.00,2,0,8224x5140,S,0
610,67.566,2.355,0.296,0.079,0.000,0.027,0.051,0.000,64.617,0.013,64.567,0.037,8120,15600,,2.00,2,0,8224x5140,S,0
611,67.741,2.358,0.264,0.059,0.000,0.021,0.064,0.000,64.842,0.014,64.792,0.036,8120,15600,,2.00,2,0,8224x5140,S,0
612,67.227,2.272,0.235,0.062,0.000,0.018,0.050,0.000,65.048,0.013,64.989,0.045,8120,15600,,2.00,2,0,8224x5140,S,0
613,68.128,2.680,0.351,0.073,0.000,0.028,0.072,0.000,66.690,1.547,65.105,0.038,8120,15600,,2.00,2,0,8224x5140,S,0
614,66.123,2.244,0.258,0.063,0.000,0.017,0.054,0.000,63.858,0.014,63.808,0.037,8120,15600,,2.00,2,0,8224x5140,S,0
615,66.522,2.456,0.273,0.063,0.000,0.018,0.075,0.000,63.654,0.014,63.603,0.037,8120,15600,,2.00,2,0,8224x5140,S,0
616,67.924,2.189,0.261,0.064,0.000,0.020,0.053,0.000,65.374,0.014,65.313,0.047,8120,15600,,2.00,2,0,8224x5140,S,0
617,66.492,2.343,0.334,0.079,0.000,0.025,0.067,0.000,63.763,0.014,63.708,0.041,8120,15600,,2.00,2,0,8224x5140,S,0
618,69.804,2.298,0.250,0.067,0.000,0.019,0.058,0.000,66.673,0.014,66.620,0.040,8120,15600,,2.00,2,0,8224x5140,S,0
619,67.693,2.321,0.288,0.064,0.000,0.021,0.061,0.000,65.255,0.014,65.203,0.039,8120,15600,,2.00,2,0,8224x5140,S,0
620,69.609,2.274,0.301,0.067,0.000,0.023,0.057,0.000,66.937,0.013,66.884,0.040,8120,15600,,2.00,2,0,8224x5140,S,0
621,67.432,2.291,0.266,0.062,0.000,0.018,0.056,0.000,65.116,0.014,65.064,0.038,8120,15600,,2.00,2,0,8224x5140,S,0
622,67.414,2.416,0.264,0.068,0.000,0.020,0.062,0.000,64.299,0.014,64.247,0.039,8120,15600,,2.00,2,0,8224x5140,S,0
623,66.674,2.424,0.246,0.069,0.000,0.019,0.080,0.000,64.321,0.014,64.266,0.041,8120,15600,,2.00,2,0,8224x5140,S,0
624,65.915,3.921,0.361,0.079,0.000,0.024,0.067,0.000,63.487,0.014,63.423,0.051,8120,15600,,2.00,2,0,8224x5140,S,0
625,66.119,2.917,0.327,0.072,0.000,0.023,0.068,0.000,63.495,0.014,63.437,0.044,8120,15600,,2.00,2,0,8224x5140,S,0
626,65.584,2.570,0.249,0.071,0.000,0.018,0.047,0.000,63.443,0.014,63.382,0.046,8120,15600,,2.00,2,0,8224x5140,S,0
627,66.244,1.820,0.238,0.062,0.000,0.017,0.061,0.000,63.440,0.014,63.377,0.049,8120,15600,,2.00,2,0,8224x5140,S,0
628,65.842,2.732,0.278,0.056,0.000,0.016,0.063,0.000,63.386,0.014,63.328,0.043,8120,15600,,2.00,2,0,8224x5140,S,0
629,66.209,2.763,0.308,0.064,0.000,0.017,0.071,0.000,63.382,0.013,63.325,0.043,8120,15600,,2.00,2,0,8224x5140,S,0
630,65.974,3.744,0.380,0.069,0.000,0.021,0.070,0.000,63.416,0.014,63.359,0.043,8120,15600,,2.00,2,0,8224x5140,S,0
631,66.571,2.925,0.274,0.073,0.000,0.019,0.074,0.000,63.446,0.014,63.390,0.043,8120,15600,,2.00,2,0,8224x5140,S,0
632,65.683,3.483,0.348,0.081,0.000,0.023,0.053,0.000,63.454,0.017,63.390,0.047,8120,15600,,2.00,2,0,8224x5140,S,0
633,65.439,2.279,0.242,0.051,0.000,0.015,0.080,0.000,63.424,0.014,63.363,0.047,8120,15600,,2.00,2,0,8224x5140,S,0
634,66.359,2.303,0.299,0.066,0.000,0.023,0.063,0.000,63.431,0.014,63.367,0.051,8120,15600,,2.00,2,0,8224x5140,S,0
