frame,cpu_frame_ms,cpu_physics_ms,cpu_mesh_ms,cpu_egui_ms,cpu_check_win_ms,cpu_shadow_segs_ms,cpu_submit_ms,cpu_celebration_ms,gpu_total_ms,gpu_shadow_ms,gpu_hdr_ms,gpu_bloom_ms,rope_verts,rope_tris,event,render_scale,render_mode,dragging,render_size,skip,table_shadow_mode
4644,121.044,3.152,0.430,0.253,0.000,0.030,0.111,0.000,127.944,0.023,127.865,0.056,8120,15600,,2.00,2,0,8224x5140,S,0
4645,129.176,4.454,0.439,0.335,0.000,0.033,0.076,0.000,126.798,0.021,126.723,0.054,8120,15600,,2.00,2,0,8224x5140,S,0
4646,132.315,3.489,0.368,0.111,0.000,0.026,0.090,0.000,129.765,0.023,129.683,0.059,8120,15600,,2.00,2,0,8224x5140,S,0
4647,146.802,3.202,0.333,0.083,0.000,0.023,0.091,0.000,143.808,0.023,143.724,0.061,8120,15600,,2.00,2,0,8224x5140,S,0
4648,168.657,3.178,0.385,0.088,0.000,0.030,0.071,0.000,166.322,0.028,166.233,0.060,8120,15600,,2.00,2,0,8224x5140,S,0
4649,158.418,3.127,0.357,0.080,0.000,0.027,0.070,0.000,156.025,0.028,155.936,0.061,8120,15600,,2.00,2,0,8224x5140,S,0
4650,138.795,3.159,0.321,0.077,0.000,0.025,0.072,0.000,136.288,0.023,136.202,0.063,8120,15600,,2.00,2,0,8224x5140,S,0
4651,134.045,3.158,0.346,0.079,0.000,0.027,0.062,0.000,131.187,0.028,131.099,0.060,8120,15600,,2.00,2,0,8224x5140,S,0
4652,137.345,3.083,0.496,0.077,0.000,0.027,0.090,0.000,134.093,0.024,134.010,0.060,8120,15600,,2.00,2,0,8224x5140,S,0
4653,129.995,3.230,0.345,0.078,0.000,0.024,0.074,0.000,127.451,0.024,127.347,0.081,8120,15600,,2.00,2,0,8224x5140,S,0
4654,111.304,3.176,0.305,0.075,0.000,0.022,0.120,0.000,108.216,0.021,108.103,0.092,8120,15600,,2.00,2,0,8224x5140,S,0
4655,102.612,3.800,0.366,0.096,0.000,0.026,0.097,0.000,98.980,0.020,98.871,0.089,8120,15600,,2.00,2,0,8224x5140,S,0
4656,96.306,5.078,0.466,0.100,0.000,0.030,0.092,0.000,93.061,0.024,92.981,0.057,8120,15600,,2.00,2,0,8224x5140,S,0
4657,94.123,4.735,0.387,0.073,0.000,0.022,0.055,0.000,91.320,0.019,91.247,0.055,8120,15600,,2.00,2,0,8224x5140,S,0
4658,94.474,2.836,0.285,0.049,0.000,0.017,0.091,0.000,91.650,0.018,91.578,0.053,8120,15600,,2.00,2,0,8224x5140,S,0
4659,97.410,3.940,0.365,0.089,0.000,0.026,0.091,0.000,94.593,0.018,94.492,0.084,8120,15600,,2.00,2,0,8224x5140,S,0
4660,99.622,5.607,0.433,0.079,0.000,0.024,0.068,0.000,96.616,0.018,96.545,0.053,8120,15600,,2.00,2,0,8224x5140,S,0
4661,102.730,3.207,0.293,0.077,0.000,0.020,0.057,0.000,99.375,0.021,99.263,0.091,8120,15600,,2.00,2,0,8224x5140,S,0
4662,105.353,3.194,0.311,0.065,0.000,0.017,0.066,0.000,102.578,0.021,102.447,0.110,8120,15600,,2.00,2,0,8224x5140,S,0
4663,104.801,3.092,0.321,0.057,0.000,0.015,0.074,0.000,102.451,0.019,102.378,0.055,8120,15600,,2.00,2,0,8224x5140,S,0
4664,107.084,3.186,0.305,0.069,0.000,0.021,0.064,0.000,104.697,0.018,104.630,0.050,8120,15600,,2.00,2,0,8224x5140,S,0
4665,111.860,3.176,0.296,0.071,0.000,0.019,0.089,0.000,109.143,0.021,109.069,0.053,8120,15600,,2.00,2,0,8224x5140,S,0
4666,124.349,4.362,0.423,0.092,0.000,0.028,0.100,0.000,121.112,0.023,121.036,0.052,8120,15600,,2.00,2,0,8224x5140,S,0
4667,133.200,5.008,0.493,0.109,0.000,0.032,0.211,0.000,130.025,0.024,129.947,0.054,8120,15600,,2.00,2,0,8224x5140,S,0
4668,131.399,5.204,0.575,0.109,0.000,0.030,0.216,0.000,128.502,0.023,128.420,0.059,8120,15600,,2.00,2,0,8224x5140,S,0
4669,126.387,5.032,0.510,0.104,0.000,0.038,0.112,0.000,122.449,0.023,122.345,0.080,8120,15600,,2.00,2,0,8224x5140,S,0
4670,113.358,5.606,0.595,0.119,0.000,0.039,0.110,0.000,109.455,0.033,109.361,0.062,8120,15600,tshadow_pcf,2.00,2,0,8224x5140,P,1
4671,14.048,7.124,1.106,0.150,0.000,0.068,0.101,0.000,10.482,0.021,10.400,0.062,8120,15600,,2.00,2,0,8224x5140,P,1
4672,19.592,1.631,0.736,0.132,0.000,0.118,0.122,0.000,10.288,0.021,10.157,0.110,8120,15600,,2.00,2,0,8224x5140,P,1
4673,13.344,1.895,0.722,0.129,0.000,0.044,0.124,0.000,9.977,0.022,9.892,0.063,8120,15600,,2.00,2,0,8224x5140,P,1
4674,14.691,1.559,0.469,0.114,0.000,0.032,0.113,0.000,10.157,0.019,10.075,0.062,8120,15600,,2.00,2,0,8224x5140,P,1
4675,18.349,1.745,0.925,0.178,0.000,0.069,0.208,0.000,10.554,0.024,10.400,0.130,8120,15600,,2.00,2,0,8224x5140,P,1
4676,15.136,1.893,0.630,0.157,0.000,0.059,0.174,0.000,9.856,0.021,9.742,0.093,8120,15600,,2.00,2,0,8224x5140,P,1
4677,17.123,1.694,0.749,0.142,0.000,0.051,0.298,0.000,9.592,0.020,9.472,0.100,8120,15600,,2.00,2,0,8224x5140,P,1
4678,15.705,1.537,0.528,0.114,0.000,0.036,0.131,0.000,9.975,0.020,9.843,0.112,8120,15600,,2.00,2,0,8224x5140,P,1
4679,17.949,1.722,0.687,0.139,0.000,0.055,0.214,0.000,9.526,0.019,9.385,0.122,8120,15600,,2.00,2,0,8224x5140,P,1
4680,15.609,1.872,0.848,0.196,0.000,0.098,0.242,0.000,10.554,0.025,10.401,0.128,8120,15600,,2.00,2,0,8224x5140,P,1
4681,17.513,1.706,0.702,0.167,0.000,0.052,0.221,0.000,9.630,0.026,9.472,0.132,8120,15600,,2.00,2,0,8224x5140,P,1
4682,17.157,1.729,0.690,0.145,0.000,0.053,0.209,0.000,9.764,0.021,9.613,0.130,8120,15600,,2.00,2,0,8224x5140,P,1
4683,16.283,1.701,0.627,0.248,0.000,0.050,0.323,0.000,9.841,0.020,9.699,0.123,8120,15600,,2.00,2,0,8224x5140,P,1
4684,16.146,1.840,0.699,0.143,0.000,0.049,0.213,0.000,9.792,0.028,9.652,0.112,8120,15600,,2.00,2,0,8224x5140,P,1
4685,16.911,1.804,0.686,0.151,0.000,0.059,0.218,0.000,9.763,0.020,9.630,0.114,8120,15600,,2.00,2,0,8224x5140,P,1
4686,16.183,1.726,0.675,0.136,0.000,0.050,0.149,0.000,9.778,0.027,9.637,0.115,8120,15600,,2.00,2,0,8224x5140,P,1
4687,16.822,1.526,0.469,0.111,0.000,0.034,0.256,0.000,9.712,0.025,9.579,0.108,8120,15600,,2.00,2,0,8224x5140,P,1
4688,16.788,1.692,0.698,0.148,0.000,0.054,0.221,0.000,9.737,0.020,9.604,0.114,8120,15600,,2.00,2,0,8224x5140,P,1
4689,16.199,1.681,0.784,0.141,0.000,0.055,0.182,0.000,9.592,0.020,9.510,0.062,8120,15600,,2.00,2,0,8224x5140,P,1
4690,16.952,1.765,0.644,0.143,0.000,0.050,0.225,0.000,9.619,0.024,9.512,0.083,8120,15600,,2.00,2,0,8224x5140,P,1
4691,17.022,1.811,0.871,0.140,0.000,0.062,0.804,0.000,9.603,0.024,9.516,0.063,8120,15600,,2.00,2,0,8224x5140,P,1
4692,16.197,1.622,0.689,0.134,0.000,0.049,0.228,0.000,9.595,0.021,9.511,0.064,8120,15600,,2.00,2,0,8224x5140,P,1
4693,15.689,1.691,0.674,0.140,0.000,0.061,0.120,0.000,9.381,0.022,9.299,0.060,8120,15600,,2.00,2,0,8224x5140,P,1
4694,17.525,1.734,0.713,0.129,0.000,0.050,0.207,0.000,10.374,0.502,9.762,0.110,8120,15600,,2.00,2,0,8224x5140,P,1
