frame,cpu_frame_ms,cpu_physics_ms,cpu_mesh_ms,cpu_egui_ms,cpu_check_win_ms,cpu_shadow_segs_ms,cpu_submit_ms,cpu_celebration_ms,gpu_total_ms,gpu_shadow_ms,gpu_hdr_ms,gpu_bloom_ms,rope_verts,rope_tris,event,render_scale,render_mode,dragging,render_size,skip,table_shadow_mode
23315,8.131,1.187,0.511,1.495,0.000,0.020,0.065,0.000,4.774,0.027,4.670,0.076,8120,15600,,2.00,2,0,8224x5140,N,3
23316,8.383,0.000,0.477,0.207,0.000,0.025,0.075,0.000,4.625,0.038,4.516,0.071,8120,15600,,2.00,2,0,8224x5140,N,3
23317,8.214,1.033,0.509,0.142,0.000,0.030,0.090,0.000,4.563,0.037,4.450,0.076,8120,15600,,2.00,2,0,8224x5140,N,3
23318,8.368,0.000,0.554,0.104,0.000,0.023,0.111,0.000,4.598,0.041,4.478,0.079,8120,15600,,2.00,2,0,8224x5140,N,3
23319,8.416,1.472,0.620,0.112,0.000,0.029,0.132,0.000,4.545,0.045,4.420,0.080,8120,15600,,2.00,2,0,8224x5140,N,3
23320,8.152,0.000,0.683,0.114,0.000,0.025,0.103,0.000,4.514,0.046,4.389,0.079,8120,15600,,2.00,2,0,8224x5140,N,3
23321,8.275,1.576,0.542,0.084,0.000,0.023,0.073,0.000,4.597,0.049,4.468,0.080,8120,15600,,2.00,2,0,8224x5140,N,3
23322,8.374,0.000,0.580,0.093,0.000,0.020,0.094,0.000,4.531,0.049,4.401,0.080,8120,15600,,2.00,2,0,8224x5140,N,3
23323,9.135,1.328,0.572,0.074,0.000,0.020,0.206,0.000,4.528,0.050,4.400,0.079,8120,15600,,2.00,2,0,8224x5140,N,3
23324,7.491,0.001,0.915,0.299,0.000,0.072,0.067,0.000,4.281,0.035,4.169,0.077,8120,15600,,2.00,2,0,8224x5140,N,3
23325,8.317,1.210,0.550,0.084,0.000,0.019,0.077,0.000,4.536,0.027,4.429,0.080,8120,15600,,2.00,2,0,8224x5140,N,3
23326,8.690,0.000,0.577,0.060,0.000,0.028,0.149,0.000,4.575,0.046,4.448,0.081,8120,15600,,2.00,2,0,8224x5140,N,3
23327,7.947,1.523,0.878,0.294,0.000,0.078,0.077,0.000,4.371,0.033,4.262,0.077,8120,15600,,2.00,2,0,8224x5140,N,3
23328,8.273,0.000,0.538,0.068,0.000,0.019,0.073,0.000,4.497,0.027,4.396,0.073,8120,15600,,2.00,2,0,8224x5140,N,3
23329,8.345,1.266,0.495,0.119,0.000,0.028,0.080,0.000,4.450,0.049,4.337,0.063,8120,15600,,2.00,2,0,8224x5140,N,3
23330,8.246,0.000,0.408,0.064,0.000,0.017,0.062,0.000,4.324,0.031,4.229,0.064,8120,15600,,2.00,2,0,8224x5140,N,3
23331,8.288,0.795,0.382,0.068,0.000,0.019,0.058,0.000,4.328,0.031,4.232,0.064,8120,15600,,2.00,2,0,8224x5140,N,3
23332,8.335,0.000,0.366,0.069,0.000,0.020,0.048,0.000,4.445,0.032,4.349,0.063,8120,15600,,2.00,2,0,8224x5140,N,3
23333,8.232,0.655,0.292,0.054,0.000,0.013,0.069,0.000,4.603,0.033,4.496,0.075,8120,15600,,2.00,2,0,8224x5140,N,3
